  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.40 GHz

  amostra  ns/operacao   GHz
      662       0.3387   5.36
      663       0.3436   5.37
      664       0.3372   5.36
      665       0.3526   5.36
      666       0.3384   5.37
      667       0.3386   5.36
      668       0.3394   5.36
      669       0.3393   5.36
      670       0.3381   5.36
      671       0.3373   5.36
      672       0.3382   5.36
      673       0.3391   5.36
      674       0.3374   5.37
      675       0.3387   5.37
      676       0.3381   5.37
      677       0.3384   5.37
      678       0.3386   5.37
      679       0.3413   5.37
      680       0.3371   5.37
      681       0.3384   5.37
      682       0.3386   5.37
      683       0.3375   5.36
      684       0.3379   5.36
      685       0.3385   5.36
      686       0.3373   5.36
      687       0.3381   5.36
      688       0.3435   5.36
      689       0.3380   5.36
      690       0.3385   5.36
      691       0.3379   5.37
      692       0.3368   5.37
      693       0.3384   5.37
      694       0.3384   5.36
      695       0.3369   5.36
      696       0.3379   5.36
      697       0.3468   5.36
      698       0.3381   5.37
      699       0.3372   5.37
      700       0.3378   5.37
      701       0.3397   5.37
      702       0.3374   5.36
      703       0.3385   5.36
      704       0.3380   5.36
      705       0.3377   5.36
      706       0.3387   5.36
      707       0.3386   5.37
      708       0.3374   5.36
      709       0.3384   5.36
      710       0.3387   5.36
      711       0.3378   5.37
      712       0.3391   5.37
      713       0.3390   5.36
      714       0.3384   5.36
      715       0.3386   5.36
      716       0.3380   5.36
      717       0.3372   5.37
      718       0.3481   5.37
      719       0.3384   5.37
      720       0.3384   5.37
      721       0.3381   5.36
      722       0.3385   5.36
      723       0.3386   5.36
      724       0.3374   5.37
      725       0.3386   5.37
      726       0.3384   5.37
      727       0.3373   5.37
      728       0.3382   5.37
      729       0.3378   5.36
      730       0.3387   5.36
      731       0.3390   5.36
      732       0.3426   5.37
      733       0.3379   5.37
      734       0.3390   5.37
      735       0.3388   5.37
      736       0.3381   5.36
      737       0.3389   5.36
      738       0.3453   5.36
      739       0.3379   5.37
      740       0.3393   5.37
      741       0.3389   5.36
      742       0.3380   5.36
      743       0.3396   5.36
      744       0.3395   5.36
      745       0.3393   5.36
      746       0.3378   5.36
      747       0.3384   5.36
      748       0.3382   5.36
      749       0.3377   5.37
      750       0.3485   5.37
      751       0.3391   5.37
      752       0.3376   5.37
      753       0.3501   5.37
      754       0.3393   5.37
      755       0.3385   5.37
      756       0.3388   5.37
      757       0.3391   5.36
      758       0.3381   5.36
      759       0.3397   5.36
      760       0.3458   5.36
      761       0.3378   5.37
      762       0.3390   5.37
      763       0.3393   5.36
      764       0.3396   5.36
      765       0.3377   5.36
      766       0.3387   5.36
      767       0.3382   5.36
      768       0.3377   5.36
      769       0.3388   5.36
      770       0.3390   5.36
      771       0.3384   5.36
      772       0.3500   5.36
      773       0.3386   5.36
      774       0.3383   5.36
      775       0.3391   5.36
      776       0.3389   5.37
      777       0.3379   5.36
      778       0.3392   5.36
      779       0.3386   5.36
      780       0.3374   5.36
      781       0.3388   5.36
      782       0.3387   5.37
      783       0.3384   5.37
      784       0.3380   5.37
      785       0.3379   5.36
      786       0.3372   5.36
      787       0.3368   5.36
      788       0.3379   5.37
      789       0.3383   5.37
      790       0.3369   5.36
      791       0.3380   5.36
      792       0.3384   5.37
      793       0.3367   5.36
      794       0.3472   5.36
      795       0.3401   5.36
      796       0.3386   5.37
      797       0.3384   5.37
      798       0.3385   5.37
      799       0.3366   5.36
      800       0.3504   5.36
      801       0.3386   5.36
      802       0.3370   5.36
      803       0.3521   5.36
      804       0.3382   5.36
      805       0.3378   5.36
      806       0.3390   5.36
      807       0.3462   5.36
      808       0.3380   5.37
      809       0.3388   5.37
      810       0.3390   5.36
      811       0.3401   5.36
      812       0.3381   5.36
      813       0.3391   5.36
      814       0.3388   5.37
      815       0.3382   5.37
      816       0.3488   5.37
      817       0.3389   5.36
      818       0.3386   5.37
      819       0.3505   5.37
      820       0.3384   5.36
      821       0.3383   5.37
      822       0.3392   5.37
      823       0.3448   5.36
      824       0.3384   5.36
      825       0.3387   5.36
      826       0.3389   5.36
      827       0.3385   5.36
      828       0.3383   5.36
      829       0.3384   5.37
      830       0.3385   5.36
      831       0.3376   5.36
      832       0.3384   5.36
      833       0.3398   5.37
      834       0.3385   5.37
      835       0.3488   5.37
      836       0.3401   5.37
      837       0.3376   5.36
      838       0.3383   5.36
      839       0.3390   5.37
      840       0.3383   5.37
      841       0.3391   5.37
      842       0.3435   5.36
      843       0.3370   5.36
      844       0.3387   5.36
      845       0.3389   5.37
      846       0.3369   5.37
      847       0.3393   5.37
      848       0.3387   5.37
      849       0.3379   5.37
      850       0.3391   5.37
      851       0.3384   5.37
      852       0.3379   5.36
      853       0.3390   5.36
      854       0.3391   5.37
      855       0.3390   5.37
      856       0.3390   5.36
      857       0.3391   5.36
      858       0.3389   5.36
      859       0.3392   5.36
      860       0.3385   5.36
      861       0.3418   5.36
      862       0.3381   5.37
      863       0.3391   5.37
      864       0.3391   5.36
      865       0.3384   5.36
      866       0.3388   5.36
      867       0.3386   5.36
      868       0.3369   5.36
      869       0.3383   5.36
      870       0.3391   5.37
      871       0.3383   5.37
      872       0.3389   5.37
      873       0.3389   5.37
      874       0.3382   5.37
      875       0.3384   5.37
      876       0.3392   5.36
      877       0.3387   5.36
      878       0.3380   5.37
      879       0.3394   5.37
      880       0.3393   5.36
      881       0.3377   5.36
      882       0.3389   5.36
      883       0.3389   5.37
      884       0.3378   5.37
      885       0.3384   5.37
      886       0.3380   5.37
      887       0.3379   5.37
      888       0.3390   5.37
      889       0.3382   5.36
      890       0.3376   5.37
      891       0.3393   5.37
      892       0.3387   5.37
      893       0.3383   5.37
      894       0.3390   5.37
      895       0.3383   5.37
      896       0.3380   5.36
      897       0.3536   5.36
      898       0.3392   5.37
      899       0.3380   5.36
      900       0.3549   5.36
      901       0.3472   5.37
      902       0.3387   5.36
      903       0.3378   5.37
      904       0.3383   5.37
      905       0.3418   5.37
      906       0.3384   5.37
      907       0.3383   5.37
      908       0.3385   5.37
      909       0.3379   5.37
      910       0.3393   5.37
      911       0.3396   5.37
      912       0.3375   5.36
      913       0.3390   5.36
      914       0.3396   5.36
      915       0.3379   5.37
      916       0.3386   5.37
      917       0.3391   5.37
      918       0.3384   5.36
      919       0.3385   5.36
      920       0.3387   5.36
      921       0.3378   5.36
      922       0.3374   5.37
      923       0.3388   5.37
      924       0.3385   5.37
      925       0.3377   5.37
      926       0.3381   5.37
      927       0.3384   5.36
      928       0.3379   5.37
      929       0.3391   5.37
      930       0.3411   5.37
      931       0.3373   5.37
      932       0.3384   5.37
      933       0.3393   5.37
      934       0.3388   5.37
      935       0.3391   5.37
      936       0.3390   5.36
      937       0.3383   5.36
      938       0.3380   5.36
      939       0.3388   5.36
      940       0.3382   5.36
      941       0.3384   5.36
      942       0.3383   5.37
      943       0.3378   5.37
      944       0.3390   5.37
      945       0.3462   5.37
      946       0.3383   5.36
      947       0.3382   5.37
      948       0.3386   5.37
      949       0.3377   5.37
      950       0.3378   5.36
      951       0.3386   5.36
      952       0.3403   5.36
      953       0.3371   5.37
      954       0.3397   5.37
      955       0.3392   5.37
      956       0.3375   5.36
      957       0.3385   5.36
      958       0.3389   5.37
      959       0.3371   5.37
      960       0.3379   5.37
      961       0.3378   5.37
      962       0.3377   5.37
      963       0.3387   5.37
      964       0.3385   5.37
      965       0.3375   5.36
      966       0.3392   5.36
      967       0.3397   5.37
      968       0.3391   5.37
      969       0.3388   5.37
      970       0.3390   5.36
      971       0.3381   5.36
      972       0.3383   5.37
      973       0.3392   5.37
      974       0.3406   5.36
      975       0.3381   5.36
      976       0.3383   5.36
      977       0.3392   5.36
      978       0.3381   5.36
      979       0.3489   5.36
      980       0.3381   5.37
      981       0.3377   5.37
      982       0.3382   5.37
      983       0.3381   5.37
      984       0.3382   5.37
      985       0.3384   5.37
      986       0.3435   5.37
      987       0.3373   5.37
      988       0.3389   5.37
      989       0.3450   5.37
      990       0.3375   5.37
      991       0.3537   5.37
      992       0.3386   5.37
      993       0.3393   5.37
      994       0.3372   5.37
      995       0.3385   5.37
      996       0.3392   5.37
      997       0.3379   5.37
      998       0.3381   5.37
      999       0.3385   5.36
     1000       0.3369   5.37
     1001       0.3388   5.37
     1002       0.3386   5.36
     1003       0.3386   5.37
     1004       0.3509   5.37
     1005       0.3391   5.37
     1006       0.3383   5.36
     1007       0.3388   5.36
     1008       0.3387   5.36
     1009       0.3377   5.36
     1010       0.3385   5.36
     1011       0.3390   5.37
     1012       0.3376   5.37
     1013       0.3540   5.37
     1014       0.3385   5.37
     1015       0.3387   5.36
     1016       0.3380   5.36
     1017       0.3389   5.36
     1018       0.3390   5.37
     1019       0.3377   5.36
     1020       0.3383   5.36
     1021       0.3390   5.36
     1022       0.3379   5.37
     1023       0.3393   5.37
     1024       0.3397   5.37
     1025       0.3377   5.36
     1026       0.3385   5.36
     1027       0.3386   5.36
     1028       0.3380   5.36
     1029       0.3381   5.36
     1030       0.3389   5.36
     1031       0.3376   5.36
     1032       0.3383   5.36
     1033       0.3383   5.37
     1034       0.3386   5.37
     1035       0.3484   5.37
     1036       0.3386   5.36
     1037       0.3381   5.36
     1038       0.3379   5.37
     1039       0.3384   5.37
     1040       0.3382   5.36
     1041       0.3374   5.37
     1042       0.3384   5.37
     1043       0.3389   5.37
     1044       0.3391   5.37
     1045       0.3492   5.37
     1046       0.3386   5.36
     1047       0.3388   5.36
     1048       0.3506   5.36
     1049       0.3388   5.36
     1050       0.3383   5.37
     1051       0.3392   5.37
     1052       0.3391   5.37
     1053       0.3384   5.36
     1054       0.3533   5.36
     1055       0.3392   5.36
     1056       0.3391   5.37
     1057       0.3407   5.37
     1058       0.3387   5.36
     1059       0.3391   5.36
     1060       0.3386   5.36
     1061       0.3389   5.36
     1062       0.3394   5.36
     1063       0.3394   5.36
     1064       0.3395   5.36
     1065       0.3394   5.36
     1066       0.3378   5.36
     1067       0.3508   5.36
     1068       0.3390   5.36
     1069       0.3377   5.36
     1070       0.3384   5.36
     1071       0.3445   5.36
     1072       0.3381   5.37
     1073       0.3534   5.37
     1074       0.3399   5.36
     1075       0.3385   5.36
     1076       0.3383   5.36
     1077       0.3384   5.36
     1078       0.3388   5.37
     1079       0.3378   5.37
     1080       0.3393   5.37
     1081       0.3396   5.37
     1082       0.3376   5.37
     1083       0.3388   5.37
     1084       0.3397   5.36
     1085       0.3386   5.36
     1086       0.3395   5.36
     1087       0.3396   5.36
     1088       0.3388   5.36
     1089       0.3388   5.36
     1090       0.3384   5.36
     1091       0.3373   5.36
     1092       0.3382   5.36
     1093       0.3439   5.36
     1094       0.3384   5.37
     1095       0.3384   5.37
     1096       0.3387   5.36
     1097       0.3382   5.36
     1098       0.3391   5.36
     1099       0.3387   5.36
     1100       0.3386   5.36
     1101       0.3367   5.36
     1102       0.3381   5.36
     1103       0.3386   5.37
     1104       0.3384   5.37
     1105       0.3383   5.37
     1106       0.3390   5.37
     1107       0.3389   5.36
     1108       0.3491   5.36
     1109       0.3382   5.36
     1110       0.3379   5.36
     1111       0.3389   5.36
