  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.43 GHz

  amostra  ns/operacao   GHz
     1059       0.3355   5.36
     1060       0.3360   5.36
     1061       0.3357   5.37
     1062       0.3349   5.37
     1063       0.3359   5.37
     1064       0.3363   5.37
     1065       0.3340   5.37
     1066       0.3358   5.37
     1067       0.3362   5.36
     1068       0.3350   5.36
     1069       0.3360   5.36
     1070       0.3356   5.37
     1071       0.3352   5.36
     1072       0.3359   5.36
     1073       0.3360   5.36
     1074       0.3358   5.36
     1075       0.3366   5.36
     1076       0.3358   5.37
     1077       0.3355   5.36
     1078       0.3351   5.36
     1079       0.3357   5.37
     1080       0.3354   5.37
     1081       0.3352   5.37
     1082       0.3357   5.36
     1083       0.3354   5.36
     1084       0.3353   5.36
     1085       0.3357   5.36
     1086       0.3364   5.36
     1087       0.3349   5.37
     1088       0.3357   5.37
     1089       0.3359   5.37
     1090       0.3354   5.37
     1091       0.3354   5.37
     1092       0.3351   5.36
     1093       0.3359   5.37
     1094       0.3362   5.37
     1095       0.3359   5.37
     1096       0.3359   5.37
     1097       0.3363   5.37
     1098       0.3363   5.37
     1099       0.3358   5.37
     1100       0.3359   5.37
     1101       0.3355   5.36
     1102       0.3354   5.36
     1103       0.3354   5.36
     1104       0.3353   5.36
     1105       0.3351   5.37
     1106       0.3365   5.37
     1107       0.3369   5.36
     1108       0.3350   5.37
     1109       0.3357   5.37
     1110       0.3360   5.36
     1111       0.3355   5.36
