  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor powersave

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.1786 ns  (5.60 GHz)
  frequencia lida do sysfs no mesmo instante:         5.59 GHz

  amostra  ns/operacao   GHz
      526       0.2037   5.53
      527       0.2027   5.53
      528       0.2033   5.53
      529       0.2028   5.53
      530       0.2034   5.53
      531       0.2027   5.53
      532       0.2028   5.53
      533       0.2033   5.53
      534       0.2027   5.53
      535       0.2033   5.53
      536       0.2027   5.53
      537       0.2028   5.53
      538       0.2033   5.53
      539       0.2028   5.53
      540       0.2035   5.53
      541       0.2028   5.53
      542       0.2029   5.53
      543       0.2035   5.53
      544       0.2028   5.53
      545       0.2033   5.53
      546       0.2027   5.53
      547       0.2028   5.53
      548       0.2034   5.53
      549       0.2026   5.53
      550       0.2034   5.53
      551       0.2027   5.53
      552       0.2029   5.53
      553       0.2031   5.53
      554       0.2026   5.53
      555       0.2032   5.53
      556       0.2026   5.53
      557       0.2035   5.53
      558       0.2026   5.53
      559       0.2028   5.53
      560       0.2035   5.53
      561       0.2027   5.53
      562       0.2033   5.53
      563       0.2027   5.53
      564       0.2029   5.53
      565       0.2034   5.53
      566       0.2027   5.53
      567       0.2034   5.53
      568       0.2027   5.53
      569       0.2027   5.53
      570       0.2032   5.53
      571       0.2027   5.53
      572       0.2034   5.53
      573       0.2027   5.53
      574       0.2028   5.53
      575       0.2032   5.53
      576       0.2028   5.53
      577       0.2033   5.53
      578       0.2028   5.53
      579       0.2033   5.53
      580       0.2028   5.53
      581       0.2028   5.53
      582       0.2033   5.53
      583       0.2028   5.53
      584       0.2034   5.53
      585       0.2028   5.53
      586       0.2028   5.53
      587       0.2033   5.53
      588       0.2027   5.53
      589       0.2034   5.53
      590       0.2028   5.53
      591       0.2027   5.53
      592       0.2032   5.53
      593       0.2028   5.53
      594       0.2034   5.53
      595       0.2028   5.53
      596       0.2027   5.53
      597       0.2034   5.53
      598       0.2028   5.53
      599       0.2032   5.53
      600       0.2027   5.53
      601       0.2027   5.53
      602       0.2033   5.53
      603       0.2029   5.53
      604       0.2034   5.53
      605       0.2028   5.53
      606       0.2036   5.53
      607       0.2027   5.53
      608       0.2028   5.53
      609       0.2034   5.53
      610       0.2027   5.53
      611       0.2034   5.53
      612       0.2026   5.53
      613       0.2028   5.53
      614       0.2034   5.53
      615       0.2027   5.53
      616       0.2035   5.53
      617       0.2026   5.53
      618       0.2027   5.53
      619       0.2034   5.53
      620       0.2028   5.53
      621       0.2034   5.53
      622       0.2027   5.53
      623       0.2027   5.53
      624       0.2034   5.53
      625       0.2028   5.53
      626       0.2034   5.53
      627       0.2028   5.53
      628       0.2028   5.53
      629       0.2034   5.53
      630       0.2028   5.53
      631       0.2033   5.53
      632       0.2028   5.53
      633       0.2032   5.53
      634       0.2028   5.53
      635       0.2028   5.53
      636       0.2033   5.53
      637       0.2028   5.53
      638       0.2035   5.53
      639       0.2028   5.53
      640       0.2027   5.53
      641       0.2033   5.53
